resume_id,job_id,label
resume_001,CCL1480117890J40786675505,1
resume_001,CCL1480117890J40786994005,1
resume_001,CC120143600J40860711315,1
resume_001,CCL1480117890J40777272805,1
resume_001,CCL1480117890J40791857305,1
resume_001,CCL1480117890J40792000205,1
resume_001,CCL1480117890J40778013805,1
resume_001,CCL1480117890J40777555905,1
resume_001,CC148305730J40744389501,0
resume_001,CC120834970J40134810202,0
resume_001,CC819166320J40678763414,0
resume_001,CC148305730J40744389501,0
resume_001,CC238267130J40355125411,0
resume_001,CCL1484757270J40789587505,0
resume_001,CCL1484757270J40789587505,0
resume_001,CC574631520J40763283907,0
resume_001,CCL1480117890J40782470405,0
resume_001,CCL1480117890J40782470405,0
resume_001,CC561961320J40756558309,0
resume_001,CCL1305152930J40680077916,0
resume_001,CC456313120J40758523409,0
resume_001,CCL1305152930J40680077916,0
resume_001,CC227606010J40376679006,0
resume_002,CC846342910J40663484106,1
resume_002,CC227128020J40820322608,1
resume_002,CCL1281167400J40858263015,1
resume_002,CC227128020J40787146808,1
resume_002,CC201057714J00262595204,1
resume_002,CC511966780J40711254514,1
resume_002,CC511966780J40711254514,1
resume_002,CC402113180J40743850901,1
resume_002,CC133964100J40788029412,0
resume_002,CC000551140J40731705207,0
resume_002,CC541175030J40774378407,0
resume_002,CC120002130J40776600802,0
resume_002,CC598458020J40655956710,0
resume_002,CCL1470276410J40934465804,0
resume_002,CCL1249043630J40763835803,0
resume_002,CCL1368679040J40693232207,0
resume_002,CCL1249237920J40413630905,0
resume_002,CC552287820J40859209115,0
resume_002,CCL1505076830J40930785204,0
resume_002,CC342271710J40850858315,0
resume_002,CCL1228208910J40731310116,0
resume_002,CCL1504953740J40759030009,0
resume_002,CCL1506191320J40867333215,0
resume_003,CC290294110J40668760206,1
resume_003,CC204107220J40703751311,1
resume_003,CC204107220J40703751311,1
resume_003,CC132032740J40656302916,1
resume_003,CC610692430J40120426404,1
resume_003,CC132726540J40662546306,1
resume_003,CC132032740J40608691016,1
resume_003,CC386384710J40577063516,1
resume_003,CC278951530J40760500807,0
resume_003,CC230197010J40795878505,0
resume_003,CCL1245865320J40699934409,0
resume_003,CCL1480117890J40782786205,0
resume_003,CCL1480117890J40608042105,0
resume_003,CCL1461168770J40726500416,0
resume_003,CCL1480117890J40608168105,0
resume_003,CCL1480117890J40608168105,0
resume_003,CC144675640J40768513003,0
resume_003,CCL1410953600J40302448009,0
resume_003,CC132962990J40675356802,0
resume_003,CCL1446729950J40608735409,0
resume_003,CC374816780J40668148216,0
resume_003,CCL1480117890J40610469205,0
resume_003,CC299729180J40728084401,0
resume_004,CCL1480117890J40786675505,1
resume_004,CCL1480117890J40653017105,1
resume_004,CCL1480117890J40796002905,1
resume_004,CCL1480117890J40777272805,1
resume_004,CCL1480117890J40653013805,1
