resume_id,job_id,job_title,label,score,skill_overlap,reasons
resume_001,CCL1480117890J40786675505,C/C++,1,21,"机器学习, java, redis, python","核心技能: java, python; 技能匹配: redis, 机器学习; 岗位类型: Java开发"
resume_001,CCL1480117890J40786994005,Java,1,21,"java, 团队协作, python, mysql","核心技能: java, python; 技能匹配: 团队协作, mysql; 岗位类型: Java开发"
resume_001,CC120143600J40860711315,Java,1,21,"java, 团队协作, python, mysql","核心技能: java, python; 技能匹配: 团队协作, mysql; 岗位类型: Java开发"
resume_001,CCL1480117890J40777272805,C/C++,1,21,"机器学习, java, redis, python","核心技能: java, python; 技能匹配: redis, 机器学习; 岗位类型: Java开发"
resume_001,CCL1480117890J40791857305,软件测试,1,21,"java, redis, 团队协作, python","核心技能: java, python; 技能匹配: redis, 团队协作; 岗位类型: Java开发"
resume_001,CCL1480117890J40792000205,Java,1,21,"java, 团队协作, python, mysql","核心技能: java, python; 技能匹配: 团队协作, mysql; 岗位类型: Java开发"
resume_001,CCL1480117890J40778013805,Java,1,21,"java, 团队协作, python, mysql","核心技能: java, python; 技能匹配: 团队协作, mysql; 岗位类型: Java开发"
resume_001,CCL1480117890J40777555905,Java,1,21,"java, 团队协作, python, mysql","核心技能: java, python; 技能匹配: 团队协作, mysql; 岗位类型: Java开发"
resume_001,CC148305730J40744389501,C/C++,0,5,团队协作,技能匹配: 团队协作; 有项目经历; 竞赛经历
resume_001,CC120834970J40134810202,科研人员,0,5,团队协作,技能匹配: 团队协作; 有项目经历; 竞赛经历
resume_001,CC819166320J40678763414,C/C++,0,5,团队协作,技能匹配: 团队协作; 有项目经历; 竞赛经历
resume_001,CC148305730J40744389501,C/C++,0,5,团队协作,技能匹配: 团队协作; 有项目经历; 竞赛经历
resume_001,CC238267130J40355125411,C/C++,0,5,redis,技能匹配: redis; 有项目经历; 竞赛经历
resume_001,CCL1484757270J40789587505,C/C++,0,5,团队协作,技能匹配: 团队协作; 有项目经历; 竞赛经历
resume_001,CCL1484757270J40789587505,C/C++,0,5,团队协作,技能匹配: 团队协作; 有项目经历; 竞赛经历
resume_001,CC574631520J40763283907,C/C++,0,5,团队协作,技能匹配: 团队协作; 有项目经历; 竞赛经历
resume_001,CCL1480117890J40782470405,Java,0,5,,岗位类型: Java开发; 有项目经历; 竞赛经历
resume_001,CCL1480117890J40782470405,Java,0,5,,岗位类型: Java开发; 有项目经历; 竞赛经历
resume_001,CC561961320J40756558309,前端开发,0,5,,岗位类型: Java开发; 有项目经历; 竞赛经历
resume_001,CCL1305152930J40680077916,前端开发,0,5,,岗位类型: Java开发; 有项目经历; 竞赛经历
resume_001,CC456313120J40758523409,前端开发,0,5,,岗位类型: Java开发; 有项目经历; 竞赛经历
resume_001,CCL1305152930J40680077916,前端开发,0,5,,岗位类型: Java开发; 有项目经历; 竞赛经历
resume_001,CC227606010J40376679006,前端开发,0,5,,岗位类型: Java开发; 有项目经历; 竞赛经历
resume_002,CC846342910J40663484106,前端开发,1,24,"vue, javascript, vite, webpack, 沟通","核心技能: javascript; 技能匹配: vue, vite, webpack; 岗位类型: Java开发"
resume_002,CC227128020J40820322608,前端开发,1,24,"vue, javascript, vite, webpack, 沟通","核心技能: javascript; 技能匹配: vue, vite, webpack; 岗位类型: Java开发"
resume_002,CCL1281167400J40858263015,前端开发,1,24,"vue, javascript, vite, webpack, 沟通","核心技能: javascript; 技能匹配: vue, vite, webpack; 岗位类型: Java开发"
resume_002,CC227128020J40787146808,前端开发,1,24,"vue, javascript, vite, webpack, 沟通","核心技能: javascript; 技能匹配: vue, vite, webpack; 岗位类型: Java开发"
resume_002,CC201057714J00262595204,Java,1,24,"vue, javascript, vite, webpack, 沟通","核心技能: javascript; 技能匹配: vue, vite, webpack; 岗位类型: Java开发"
resume_002,CC511966780J40711254514,Java,1,22,"vue, vite, webpack, 沟通, springboot","技能匹配: vue, vite, webpack; 岗位类型: Java开发; 有项目经历"
resume_002,CC511966780J40711254514,Java,1,22,"vue, vite, webpack, 沟通, springboot","技能匹配: vue, vite, webpack; 岗位类型: Java开发; 有项目经历"
resume_002,CC402113180J40743850901,前端开发,1,21,"vue, javascript, vite, webpack, 沟通","核心技能: javascript; 技能匹配: 沟通, vue, vite; 岗位类型: Java开发"
resume_002,CC133964100J40788029412,实施工程师,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CC000551140J40731705207,科研人员,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CC541175030J40774378407,硬件测试,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CC120002130J40776600802,测试工程师,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CC598458020J40655956710,技术支持工程师,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CCL1470276410J40934465804,测试工程师,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CCL1249043630J40763835803,实施工程师,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CCL1368679040J40693232207,科研人员,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CCL1249237920J40413630905,技术支持工程师,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CC552287820J40859209115,技术支持工程师,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CCL1505076830J40930785204,技术支持工程师,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CC342271710J40850858315,实施工程师,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CCL1228208910J40731310116,测试工程师,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CCL1504953740J40759030009,软件测试,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_002,CCL1506191320J40867333215,软件测试,0,4,沟通,技能匹配: 沟通; 有项目经历
resume_003,CC290294110J40668760206,C/C++,1,10,"嵌入式开发, 抗压","技能匹配: 嵌入式开发, 抗压; 岗位类型: 嵌入式开发; 竞赛经历"
resume_003,CC204107220J40703751311,硬件测试,1,9,"altium designer, 嵌入式开发","技能匹配: altium designer, 嵌入式开发; 岗位类型: 嵌入式开发"
resume_003,CC204107220J40703751311,测试工程师,1,9,"altium designer, 嵌入式开发","技能匹配: altium designer, 嵌入式开发; 岗位类型: 嵌入式开发"
resume_003,CC132032740J40656302916,科研人员,1,9,"altium designer, 嵌入式开发","技能匹配: altium designer, 嵌入式开发; 岗位类型: 嵌入式开发"
resume_003,CC610692430J40120426404,技术支持工程师,1,9,"嵌入式开发, stm32","技能匹配: 嵌入式开发, stm32; 岗位类型: 嵌入式开发"
resume_003,CC132726540J40662546306,测试工程师,1,9,"嵌入式开发, 抗压","技能匹配: 嵌入式开发, 抗压; 岗位类型: 嵌入式开发"
resume_003,CC132032740J40608691016,科研人员,1,9,"altium designer, 嵌入式开发","技能匹配: altium designer, 嵌入式开发; 岗位类型: 嵌入式开发"
resume_003,CC386384710J40577063516,测试工程师,1,9,"嵌入式开发, 抗压","技能匹配: 嵌入式开发, 抗压; 岗位类型: 嵌入式开发"
resume_003,CC278951530J40760500807,测试工程师,0,4,plc,技能匹配: plc; 竞赛经历
resume_003,CC230197010J40795878505,实施工程师,0,4,plc,技能匹配: plc; 竞赛经历
resume_003,CCL1245865320J40699934409,Java,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_003,CCL1480117890J40782786205,Java,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_003,CCL1480117890J40608042105,Java,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_003,CCL1461168770J40726500416,软件测试,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_003,CCL1480117890J40608168105,Java,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_003,CCL1480117890J40608168105,Java,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_003,CC144675640J40768513003,C/C++,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_003,CCL1410953600J40302448009,科研人员,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_003,CC132962990J40675356802,前端开发,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_003,CCL1446729950J40608735409,C/C++,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_003,CC374816780J40668148216,测试工程师,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_003,CCL1480117890J40610469205,Java,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_003,CC299729180J40728084401,C/C++,0,4,抗压,技能匹配: 抗压; 竞赛经历
resume_004,CCL1480117890J40786675505,C/C++,1,15,"python, sql, 机器学习","核心技能: python; 技能匹配: sql, 机器学习; 岗位类型: Python开发"
resume_004,CCL1480117890J40653017105,Java,1,15,"python, sql, 机器学习","核心技能: python; 技能匹配: sql, 机器学习; 岗位类型: Python开发"
resume_004,CCL1480117890J40796002905,C/C++,1,15,"python, sql, 机器学习","核心技能: python; 技能匹配: sql, 机器学习; 岗位类型: Python开发"
resume_004,CCL1480117890J40777272805,C/C++,1,15,"python, sql, 机器学习","核心技能: python; 技能匹配: sql, 机器学习; 岗位类型: Python开发"
resume_004,CCL1480117890J40653013805,Java,1,15,"python, sql, 机器学习","核心技能: python; 技能匹配: sql, 机器学习; 岗位类型: Python开发"
resume_004,CCL1480117890J40702714505,C/C++,1,15,"python, sql, 机器学习","核心技能: python; 技能匹配: sql, 机器学习; 岗位类型: Python开发"
resume_004,CCL1480117890J40795522805,Java,1,15,"python, sql, 机器学习","核心技能: python; 技能匹配: sql, 机器学习; 岗位类型: Python开发"
resume_004,CCL1480117890J40626146705,Java,1,15,"python, sql, 机器学习","核心技能: python; 技能匹配: sql, 机器学习; 岗位类型: Python开发"
resume_004,CC668565120J40736166805,前端开发,0,4,,岗位类型: Python开发; 有项目经历
resume_004,CC227750710J40595912706,前端开发,0,4,,岗位类型: Python开发; 有项目经历
